iShares Core High Quality Canadian Bond Index ETF
Inception Date,"Nov 19, 2009"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$261,810,245"
Shares Outstanding,"12,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"BRITISH COLUMBIA (PROVINCE OF)","11070TAF5","-","0.12","$320,112","Canada","Provincial","2.85","Jun 18, 2025","8.59","106.32","FI","CAD","CAD","1.00","8.59","2.14","-","2.14","320,112.07"
"WELLS FARGO CANADA CORP","94975ZBN5","B9G6338","0.12","$317,169","Canada","Financial","3.46","Jan 24, 2023","6.62","107.03","FI","CAD","CAD","1.00","6.59","2.42","-","2.42","317,168.68"
"BRITISH COLUMBIA (PROVINCE OF)","110709FY3","B3KFGS5","0.12","$313,705","Canada","Provincial","4.95","Jun 18, 2040","15.55","135.73","FI","CAD","CAD","1.00","15.79","2.92","-","2.92","313,705.25"
"VW CREDIT CANADA INC RegS","918423AK0","BR4SZT2","0.12","$313,643","Germany","Financial","2.50","Oct 1, 2019","3.93","103.68","FI","CAD","CAD","1.00","3.91","1.58","-","1.58","313,642.80"
"AMERICAN EXPRESS CANADA CREDIT COR MTN","02580ZAM8","B944M15","0.12","$311,148","United States","Financial","2.31","Mar 29, 2018","2.56","102.21","FI","CAD","CAD","1.00","2.55","1.45","-","1.45","311,148.00"
"NOVA SCOTIA (PROVINCE OF)","669827FV4","B514JC0","0.12","$310,272","Canada","Provincial","4.15","Nov 25, 2019","3.97","112.41","FI","CAD","CAD","1.00","3.95","1.18","-","1.18","310,272.03"
"TOYOTA CREDIT CANADA INC MTN Prvt","892329AK9","B8FH3B3","0.12","$309,000","Japan","Financial","2.45","Feb 27, 2017","1.52","101.93","FI","CAD","CAD","1.00","1.51","1.20","-","1.20","309,000.48"
"BRITISH COLUMBIA CANADA (PROVINCE","1107098X3","B555BJ0","0.12","$308,781","Canada","Provincial","3.70","Dec 18, 2020","4.90","112.20","FI","CAD","CAD","1.00","4.89","1.34","-","1.34","308,781.34"
"JOHN DEERE CANADA FUNDING INC MTN","47787ZAF9","BTJRHX6","0.12","$307,521","Canada","Financial","2.30","Jan 17, 2018","2.39","102.38","FI","CAD","CAD","1.00","2.37","1.31","-","1.31","307,520.77"
"CU INC","12657ZBG7","-","0.12","$307,222","Canada","Energy","3.96","Jul 27, 2045","17.27","102.30","FI","CAD","CAD","1.00","17.58","3.83","-","3.83","307,221.56"
"TOYOTA CREDIT CANADA INC MTN","892329AT0","-","0.12","$305,855","Japan","Financial","2.05","May 20, 2020","4.55","101.51","FI","CAD","CAD","1.00","4.53","1.72","-","1.72","305,855.49"
"TOYOTA CREDIT CANADA INC MTN RegS","892329AR4","-","0.12","$304,695","Japan","Financial","1.80","Feb 19, 2020","4.33","100.74","FI","CAD","CAD","1.00","4.31","1.63","-","1.63","304,695.32"
"ROYAL BANK OF CANADA","780086KE3","-","0.12","$303,191","Canada","Financial","1.59","Mar 23, 2020","4.44","100.48","FI","CAD","CAD","1.00","4.42","1.48","-","1.48","303,191.14"
"ALBERTA (PROVINCE OF)","013051DQ7","-","0.12","$301,492","Canada","Provincial","2.35","Jun 1, 2025","8.71","101.43","FI","CAD","CAD","1.00","8.70","2.19","-","2.19","301,491.51"
"BROOKFIELD ASSET MANAGEMENT INC MTN","11257ZAE9","BMN97G2","0.11","$300,327","Canada","Industrial","4.82","Jan 28, 2026","8.30","109.49","FI","CAD","CAD","1.00","8.29","3.72","-","3.70","300,326.95"
"ALBERTA PROVINCE OF MTN","01306ZCV1","B90L834","0.11","$299,965","Canada","Provincial","2.90","Sep 20, 2029","11.43","103.77","FI","CAD","CAD","1.00","11.47","2.58","-","2.58","299,965.09"
"HYDRO ONE INC MTN","44810ZAT7","B290WJ7","0.11","$290,202","Canada","Infrastructure","5.18","Oct 18, 2017","2.08","108.78","FI","CAD","CAD","1.00","2.07","1.12","-","1.12","290,201.95"
"HYDRO-QUEBEC MTN","44889ZCN4","B09YBH6","0.11","$285,992","Canada","Provincial","6.00","Feb 15, 2040","14.54","150.93","FI","CAD","CAD","1.00","14.78","3.04","-","3.04","285,991.86"
"SASKATCHEWAN PROVINCE OF","803854JW9","BM91WW3","0.11","$280,715","Canada","Provincial","3.20","Jun 3, 2024","7.71","109.52","FI","CAD","CAD","1.00","7.70","2.02","-","2.02","280,714.57"
"HYDRO-QUEBEC","448814HZ9","B1GCR38","0.10","$268,830","Canada","Provincial","5.00","Feb 15, 2045","16.94","137.66","FI","CAD","CAD","1.00","17.23","3.06","-","3.06","268,830.16"
"MANITOBA (PROVINCE OF)","563469FL4","B1W3LT9","0.10","$267,947","Canada","Provincial","4.60","Mar 5, 2038","14.59","125.65","FI","CAD","CAD","1.00","14.80","3.02","-","3.02","267,946.57"
"HONDA CANADA FINANCE INC Prvt","438121AF2","-","0.10","$267,189","Canada","Financial","1.63","Aug 12, 2019","3.86","100.42","FI","CAD","CAD","1.00","3.84","1.52","-","1.52","267,189.15"
"OMERS REALTY CORP Prvt","68214WAH1","-","0.10","$266,099","Canada","Provincial","3.36","Jun 5, 2023","6.90","107.16","FI","CAD","CAD","1.00","6.87","2.35","-","2.35","266,098.73"
"NORTH WEST REDWATER PARTNERSHIP Prvt","663307AA4","-","0.10","$259,335","Canada","Energy","3.20","Jul 22, 2024","7.78","103.60","FI","CAD","CAD","1.00","7.77","2.74","-","2.73","259,335.06"
"NORTH WEST REDWATER PARTNERSHIP Prvt","663307AB2","-","0.10","$253,936","Canada","Energy","4.05","Jul 22, 2044","16.73","101.41","FI","CAD","CAD","1.00","17.02","3.97","-","3.97","253,935.85"
"GREATER TORONTO AIRPORTS AUTHORITY MTN 144A","39191ZAY5","-","0.10","$252,395","Canada","Infrastructure","4.53","Dec 2, 2041","15.75","114.44","FI","CAD","CAD","1.00","15.96","3.67","-","3.67","252,395.47"
"NEW BRUNSWICK (PROVINCE OF)","642866GG6","BNH71S9","0.10","$250,462","Canada","Provincial","3.80","Aug 14, 2045","18.02","112.57","FI","CAD","CAD","1.00","18.29","3.15","-","3.15","250,462.40"
"HYDRO ONE INC MTN","44810ZAR1","B67WSR3","0.10","$249,224","Canada","Infrastructure","5.00","Oct 19, 2046","16.79","123.12","FI","CAD","CAD","1.00","17.06","3.74","-","3.74","249,223.65"
"BRITISH COLUMBIA PROV OF","110709FZ0","B55LHL2","0.09","$247,948","Canada","Provincial","4.10","Dec 18, 2019","4.03","112.67","FI","CAD","CAD","1.00","4.02","1.12","-","1.12","247,947.62"
"ALBERTA (PROVINCE OF)","013051CZ8","B4T7H19","0.09","$247,053","Canada","Provincial","4.00","Dec 1, 2019","4.00","112.09","FI","CAD","CAD","1.00","3.98","1.12","-","1.12","247,053.13"
"ALTALINK LP MTN","02135ZAK2","BF31101","0.09","$241,466","Canada","Infrastructure","4.92","Sep 17, 2043","15.77","118.82","FI","CAD","CAD","1.00","16.01","3.82","-","3.82","241,466.04"
"SASKATCHEWAN (PROVINCE OF)","803854JL3","B1QM7C7","0.09","$240,364","Canada","Provincial","4.75","Jun 1, 2040","15.60","131.21","FI","CAD","CAD","1.00","15.84","2.96","-","2.96","240,363.53"
"NEW BRUNSWICK (PROVINCE OF)","642866FZ5","B78BH02","0.09","$238,756","Canada","Provincial","4.55","Mar 26, 2037","14.20","122.69","FI","CAD","CAD","1.00","14.38","3.10","-","3.10","238,755.70"
"VILLE DE MONTREAL","614852NQ0","-","0.09","$236,202","Canada","Municipal","4.10","Dec 1, 2034","13.44","111.74","FI","CAD","CAD","1.00","13.57","3.28","-","3.28","236,202.00"
"MONTREAL (VILLE DE)","614853CV9","B7B41V7","0.09","$235,885","Canada","Municipal","3.50","Sep 1, 2023","6.99","108.71","FI","CAD","CAD","1.00","6.97","2.31","-","2.31","235,884.82"
"SASKATCHEWAN (PROVINCE OF)","803854HN1","2936404","0.09","$231,705","Canada","Provincial","6.40","Sep 5, 2031","10.92","147.76","FI","CAD","CAD","1.00","11.03","2.71","-","2.71","231,705.33"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AD8","B8J9N82","0.09","$231,123","Canada","Financial","4.17","Jun 1, 2022","1.76","104.78","FI","CAD","CAD","1.00","5.99","2.70","-","1.49","231,122.57"
"TOYOTA CREDIT CANADA INC MTN","892329AN3","BGP6L78","0.09","$230,861","Japan","Financial","2.80","Nov 21, 2018","3.15","104.35","FI","CAD","CAD","1.00","3.13","1.44","-","1.44","230,860.57"
"BRIT COL MUNI FIN AUTH","626209JG6","B57NYQ0","0.09","$229,158","Canada","Municipal","4.88","Jun 3, 2019","3.52","113.72","FI","CAD","CAD","1.00","3.51","1.19","-","1.19","229,157.54"
"MANUFACTURERS LIFE INSURANCE COMPA","564835AH9","-","0.09","$226,897","Canada","Financial","2.64","Jan 15, 2025","4.21","103.45","FI","CAD","CAD","1.00","8.45","1.65","-","1.83","226,897.04"
"PSP CAPITAL INC Prvt","69363TAE2","B715Y22","0.09","$226,322","Canada","Federal","2.26","Feb 16, 2017","1.50","102.28","FI","CAD","CAD","1.00","1.49","0.76","-","0.76","226,322.34"
"BRITISH COLUMBIA CANADA (PROVINCE","110709GB2","B8L1H40","0.09","$224,625","Canada","Provincial","2.70","Dec 18, 2022","6.69","106.59","FI","CAD","CAD","1.00","6.67","1.74","-","1.74","224,624.70"
"HOLLIS RECEIVABLES TERM TRUST MTN","43562ZAA0","-","0.09","$224,133","Canada","Securitized","2.23","Sep 26, 2016","1.12","101.30","FI","CAD","CAD","1.00","1.12","1.08","-","1.08","224,133.05"
"TORONTO-DOMINION BANK/THE","891145N34","-","0.09","$222,741","Canada","Financial","1.82","Apr 3, 2017","1.63","101.08","FI","CAD","CAD","1.00","1.62","1.16","-","1.16","222,740.53"
"HOLLIS RECEIVABLES TERM TRUST II","43562ZAE2","-","0.08","$222,104","Canada","Securitized","1.79","Feb 26, 2020","4.35","100.39","FI","CAD","CAD","1.00","4.32","1.70","-","1.70","222,103.89"
"NEW BRUNSWICK (PROVINCE OF)","6428668Z3","B4PY8V1","0.08","$216,897","Canada","Provincial","4.40","Jun 3, 2019","3.55","112.20","FI","CAD","CAD","1.00","3.54","1.13","-","1.13","216,896.75"
"TRANSCANADA PIPELINES LIMITED MTN","89353ZBX5","BCFKL83","0.08","$214,023","Canada","Energy","3.69","Jul 19, 2023","6.89","106.83","FI","CAD","CAD","1.00","6.90","2.73","-","2.70","214,023.38"
"LEISUREWORLD SENIOR CARE LP 144A","52541RAC1","-","0.08","$213,650","Canada","Industrial","3.47","Feb 3, 2021","5.04","106.80","FI","CAD","CAD","1.00","5.01","2.16","-","2.16","213,649.87"
"FINANCEMENT QUEBEC","31739ZAS4","B6XW0G0","0.08","$213,286","Canada","Provincial","2.40","Dec 1, 2018","3.20","104.63","FI","CAD","CAD","1.00","3.19","0.98","-","0.98","213,286.01"
"ALTALINK LP MTN","02135ZAL0","BGDFQC7","0.08","$212,195","Canada","Infrastructure","3.67","Nov 6, 2023","7.13","109.59","FI","CAD","CAD","1.00","7.11","2.38","-","2.38","212,195.22"
"407 INTERNATIONAL INC. MTN","35085ZBL9","-","0.08","$203,951","Canada","Infrastructure","3.83","May 11, 2046","17.58","101.06","FI","CAD","CAD","1.00","17.90","3.77","-","3.77","203,950.59"
"ALBERTA (PROVINCE OF)","013051DR5","-","0.08","$200,665","Canada","Provincial","1.25","Jun 1, 2020","4.67","100.11","FI","CAD","CAD","1.00","4.65","1.23","-","1.23","200,664.88"
"FINANCEMENT QUEBEC MTN","31739ZAN5","B58PHQ6","0.08","$200,405","Canada","Provincial","3.50","Dec 1, 2016","1.29","103.74","FI","CAD","CAD","1.00","1.29","0.64","-","0.64","200,405.42"
"NOVA SCOTIA (PROVINCE OF)","6698278Z3","B4K2070","0.08","$197,279","Canada","Provincial","4.40","Jun 1, 2042","16.52","123.28","FI","CAD","CAD","1.00","16.77","3.11","-","3.11","197,279.00"
"VW CREDIT CANADA INC","918423AF1","B7MXGS5","0.07","$195,651","Germany","Financial","2.20","Oct 11, 2016","1.16","101.20","FI","CAD","CAD","1.00","1.16","1.17","-","1.17","195,651.47"
"BRITISH COLUMBIA (PROVINCE OF)","11070TAG3","-","0.07","$195,578","Canada","Provincial","2.80","Jun 18, 2048","20.85","97.41","FI","CAD","CAD","1.00","21.14","2.92","-","2.92","195,578.06"
"BROOKFIELD ASSET MANAGEMENT INC MTN","112585AG9","B5NNLZ2","0.07","$190,938","Canada","Industrial","5.30","Mar 1, 2021","4.82","114.14","FI","CAD","CAD","1.00","4.79","2.56","-","2.56","190,937.81"
"ALBERTA PROVINCE OF","01306ZDC2","-","0.07","$189,955","Canada","Provincial","3.90","Dec 1, 2033","13.25","115.12","FI","CAD","CAD","1.00","13.38","2.84","-","2.84","189,954.95"
"ONTARIO (PROVINCE OF)","683234HM3","2659079","0.07","$189,712","Canada","Provincial","8.10","Sep 8, 2023","6.27","146.03","FI","CAD","CAD","1.00","6.27","1.92","-","1.92","189,711.73"
"MANITOBA PROVINCE OF","563469TR6","B733532","0.07","$186,742","Canada","Provincial","3.85","Dec 1, 2021","5.66","113.17","FI","CAD","CAD","1.00","5.64","1.64","-","1.64","186,741.83"
"ALBERTA (PROVINCE OF) MTN","01306ZDF5","-","0.07","$181,016","Canada","Provincial","3.50","Jun 1, 2031","12.16","109.74","FI","CAD","CAD","1.00","12.23","2.74","-","2.74","181,016.44"
"HYDRO ONE INC MTN","44810ZBN9","-","0.07","$178,016","Canada","Infrastructure","4.17","Jun 6, 2044","16.74","107.85","FI","CAD","CAD","1.00","17.07","3.72","-","3.72","178,016.16"
"ONTARIO (PROVINCE OF)","683234JQ2","2103264","0.07","$174,819","Canada","Provincial","8.50","Dec 2, 2025","7.61","157.41","FI","CAD","CAD","1.00","7.64","2.24","-","2.24","174,818.82"
"TRANSCANADA PIPELINES LIMITED MTN","89353ZBP2","B05JVY2","0.07","$173,264","Canada","Energy","5.10","Jan 11, 2017","1.39","105.29","FI","CAD","CAD","1.00","1.38","1.35","-","1.35","173,263.91"
"MANITOBA (PROVINCE OF)","563469TK1","B7132N3","0.07","$171,063","Canada","Provincial","4.15","Jun 3, 2020","4.41","113.31","FI","CAD","CAD","1.00","4.40","1.29","-","1.29","171,063.11"
"CANADIAN WESTERN BANK","136765AS3","-","0.06","$169,622","Canada","Financial","3.08","Jan 14, 2019","3.28","103.23","FI","CAD","CAD","1.00","3.25","2.10","-","2.10","169,621.93"
"FINANCEMENT QUEBEC","31739ZAT2","B8KC0N4","0.06","$168,192","Canada","Provincial","2.45","Dec 1, 2019","4.10","105.34","FI","CAD","CAD","1.00","4.09","1.18","-","1.18","168,191.85"
"DAIMLER CANADA FINANCE INC Prvt","23384NAN7","-","0.06","$165,511","Germany","Financial","1.42","Oct 2, 2018","3.08","99.82","FI","CAD","CAD","1.00","3.06","1.48","-","1.48","165,511.44"
"NEW BRUNSWICK (PROVINCE OF)","642869AA9","B3R4GZ2","0.06","$158,391","Canada","Provincial","4.80","Jun 3, 2041","15.82","128.99","FI","CAD","CAD","1.00","16.06","3.15","-","3.15","158,391.42"
"NEW BRUNSWICK (PROVINCE OF)","642866FR3","B1L3NT4","0.06","$148,965","Canada","Provincial","5.50","Jan 27, 2034","12.49","135.27","FI","CAD","CAD","1.00","12.63","3.00","-","3.00","148,964.84"
"ALBERTA (PROVINCE OF)","013051DB0","B61LYC3","0.06","$148,260","Canada","Provincial","4.50","Dec 1, 2040","15.97","126.98","FI","CAD","CAD","1.00","16.21","2.98","-","2.98","148,260.13"
"TORONTO (CITY OF)","891288DC3","B3WVS52","0.06","$147,144","Canada","Municipal","5.20","Jun 1, 2040","15.09","132.83","FI","CAD","CAD","1.00","15.32","3.26","-","3.26","147,144.12"
"PROV OF NEW BRUNSWICK","642866GA9","B2QTQR3","0.05","$142,709","Canada","Provincial","4.80","Sep 26, 2039","15.06","127.99","FI","CAD","CAD","1.00","15.28","3.14","-","3.14","142,709.31"
"TOYOTA CREDIT CANADA INC MTN","892329AL7","B8HT856","0.05","$140,501","Japan","Financial","2.20","Oct 19, 2017","2.15","101.90","FI","CAD","CAD","1.00","2.13","1.32","-","1.32","140,501.12"
"NOVA SCOTIA (PROVINCE OF)","669827FQ5","B9GDNV7","0.05","$135,847","Canada","Provincial","4.50","Jun 1, 2037","14.43","122.68","FI","CAD","CAD","1.00","14.62","3.07","-","3.07","135,846.70"
"ALBERTA (PROVINCE OF)","013051DF1","B81T1P3","0.05","$134,980","Canada","Provincial","1.75","Jun 15, 2017","1.83","102.01","FI","CAD","CAD","1.00","1.83","0.66","-","0.66","134,980.43"
"NEW BRUNSWICK (PROVINCE OF)","642869AD3","B6TK4G6","0.05","$121,504","Canada","Provincial","3.35","Dec 3, 2021","5.72","109.87","FI","CAD","CAD","1.00","5.71","1.70","-","1.70","121,504.32"
"MANITOBA (PROVINCE OF)","563469UC7","-","0.05","$121,192","Canada","Provincial","3.30","Jun 2, 2024","7.68","109.59","FI","CAD","CAD","1.00","7.66","2.10","-","2.10","121,191.97"
"GE CAPITAL CANADA FUNDING CO","36158ZBR6","B3N6CC1","0.05","$120,739","United States","Financial","4.40","Feb 8, 2018","2.36","107.61","FI","CAD","CAD","1.00","2.34","1.31","-","1.31","120,739.37"
"SASKATCHEWAN (PROVINCE OF)","803854KA5","-","0.05","$119,863","Canada","Provincial","2.75","Dec 2, 2046","20.25","95.37","FI","CAD","CAD","1.00","20.52","2.98","-","2.98","119,862.91"
"MANITOBA PROVINCE OF MTN","56344ZQC6","-","0.05","$119,305","Canada","Provincial","3.25","Sep 5, 2029","11.18","107.09","FI","CAD","CAD","1.00","11.23","2.64","-","2.64","119,305.09"
"NOVA SCOTIA (PROVINCE OF)","669827FZ5","-","0.05","$117,845","Canada","Provincial","3.45","Jun 1, 2045","18.55","106.51","FI","CAD","CAD","1.00","18.82","3.11","-","3.11","117,845.07"
"VILLE DE MONTREAL","614853CJ6","-","0.04","$117,640","Canada","Municipal","5.45","Dec 1, 2019","3.90","116.65","FI","CAD","CAD","1.00","3.88","1.46","-","1.46","117,640.16"
"MONTREAL (VILLE DE)","614853CM9","-","0.04","$115,926","Canada","Municipal","4.50","Dec 1, 2021","5.56","115.06","FI","CAD","CAD","1.00","5.54","1.95","-","1.95","115,926.02"
"MANITOBA (PROVINCE OF)","563469UA1","B7VNXJ6","0.04","$115,338","Canada","Provincial","2.55","Jun 2, 2023","7.07","104.40","FI","CAD","CAD","1.00","7.06","1.94","-","1.94","115,338.24"
"MANITOBA PROVINCE OF","563469TS4","-","0.04","$112,501","Canada","Provincial","2.05","Dec 1, 2016","1.30","101.90","FI","CAD","CAD","1.00","1.30","0.60","-","0.60","112,501.33"
"ALBERTA (PROVINCE OF)","013051DE4","B6VM125","0.04","$112,376","Canada","Provincial","1.85","Sep 1, 2016","1.06","101.36","FI","CAD","CAD","1.00","1.05","0.57","-","0.57","112,376.06"
"QUEBEC (PROVINCE OF)","74814ZDE0","B0MGXH3","0.04","$104,523","Canada","Provincial","5.35","Jun 1, 2025","7.88","126.50","FI","CAD","CAD","1.00","7.88","2.32","-","2.32","104,523.35"
"PROVINCE OF NEWFOUNDLAND","651333FT8","-","0.04","$103,063","Canada","Provincial","3.30","Oct 17, 2046","19.06","102.02","FI","CAD","CAD","1.00","19.33","3.20","-","3.20","103,062.61"
"PROVINCE OF NEWFOUNDLAND","651333FS0","-","0.04","$100,000","Canada","Provincial","2.30","Jun 2, 2025","8.72","99.57","FI","CAD","CAD","1.00","8.71","2.35","-","2.35","100,000.41"
"MANITOBA PROVINCE OF","563469UF0","-","0.04","$96,728","Canada","Provincial","2.85","Sep 5, 2046","19.73","95.53","FI","CAD","CAD","1.00","19.99","3.07","-","3.07","96,728.26"
"NOVA SCOTIA (PROVINCE OF)","669827FY8","B7SL780","0.04","$94,132","Canada","Provincial","4.10","Jun 1, 2021","5.22","114.05","FI","CAD","CAD","1.00","5.21","1.56","-","1.56","94,131.86"
"SASKATCHEWAN (PROVINCE OF)","803854JT6","B9B9F58","0.03","$88,374","Canada","Provincial","3.40","Feb 3, 2042","17.53","107.75","FI","CAD","CAD","1.00","17.76","2.98","-","2.98","88,374.42"
"NOVA SCOTIA (PROVINCE OF)","669827FW2","B521YC5","0.03","$85,128","Canada","Provincial","4.70","Jun 1, 2041","15.92","128.13","FI","CAD","CAD","1.00","16.16","3.11","-","3.11","85,127.98"
"MANITOBA (PROVINCE OF)","563469TW5","B8S0LN7","0.03","$81,783","Canada","Provincial","3.35","Mar 5, 2043","17.69","104.80","FI","CAD","CAD","1.00","17.93","3.09","-","3.09","81,782.96"
"SASKATCHEWAN (PROVINCE OF)","803854JA7","B3CJGD0","0.03","$79,627","Canada","Provincial","5.80","Sep 5, 2033","12.06","142.33","FI","CAD","CAD","1.00","12.21","2.80","-","2.80","79,627.06"
"NEW BRUNSWICK (PROVINCE OF)","642869AE1","B8KYH28","0.03","$76,485","Canada","Provincial","3.55","Jun 3, 2043","17.64","107.10","FI","CAD","CAD","1.00","17.88","3.16","-","3.16","76,484.94"
"PROV OF NEW BRUNSWICK","642866GB7","B2R92V8","0.02","$60,963","Canada","Provincial","4.45","Mar 26, 2018","2.48","109.22","FI","CAD","CAD","1.00","2.48","0.90","-","0.90","60,962.67"
"BRITISH COLUMBIA (PROVINCE OF)","110709FR8","B27W9X8","0.02","$60,463","Canada","Provincial","4.70","Dec 1, 2017","2.21","109.08","FI","CAD","CAD","1.00","2.21","0.74","-","0.74","60,462.91"
"ALBERTA (PROVINCE OF)","013051DM6","-","0.02","$60,031","Canada","Provincial","3.10","Jun 1, 2024","7.73","108.59","FI","CAD","CAD","1.00","7.72","2.03","-","2.03","60,030.85"
"BRITISH COLUMBIA PROVINCE OF","11070TAE8","-","0.02","$58,045","Canada","Provincial","2.25","Mar 1, 2019","3.41","104.56","FI","CAD","CAD","1.00","3.41","0.95","-","0.95","58,044.70"
"SASKATCHEWAN (PROVINCE OF)","803854JY5","-","0.02","$57,369","Canada","Provincial","1.95","Mar 1, 2019","3.43","103.46","FI","CAD","CAD","1.00","3.42","0.96","-","0.96","57,368.96"
"ONTARIO (PROVINCE OF)","68323AAF1","B3SLDD9","0.02","$57,288","Canada","Provincial","3.20","Sep 8, 2016","1.07","102.84","FI","CAD","CAD","1.00","1.06","0.57","-","0.57","57,288.39"
"MANITOBA (PROVINCE OF)","563469FQ3","B2R4Y39","0.01","$34,890","Canada","Provincial","4.65","Mar 5, 2040","15.36","127.26","FI","CAD","CAD","1.00","15.59","3.06","-","3.06","34,889.79"
 
