iShares Core High Quality Canadian Bond Index ETF
Inception Date,"Nov 19, 2009"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$261,810,245"
Shares Outstanding,"12,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"BANK OF MONTREAL","0636795H3","B95J833","0.49","$1,288,500","Canada","Financial","2.24","Dec 11, 2017","2.29","102.16","FI","CAD","CAD","1.00","2.28","1.30","-","1.30","1,288,500.42"
"CANADA (GOVERNMENT OF)","135087A87","B84XPW7","0.49","$1,278,773","Canada","Federal","1.25","Mar 1, 2018","2.52","102.09","FI","CAD","CAD","1.00","2.52","0.43","-","0.43","1,278,773.01"
"CANADA (GOVERNMENT OF)","135087D68","BQ1YGS2","0.49","$1,274,265","Canada","Federal","1.00","Nov 1, 2016","1.23","100.71","FI","CAD","CAD","1.00","1.23","0.43","-","0.43","1,274,265.11"
"CANADA (GOVERNMENT OF)","135087A46","B87DNX1","0.49","$1,274,121","Canada","Federal","1.50","Sep 1, 2017","2.03","102.19","FI","CAD","CAD","1.00","2.03","0.44","-","0.44","1,274,121.43"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZHZ2","BP9DSY4","0.49","$1,270,429","Canada","Financial","2.35","Oct 18, 2017","2.14","102.33","FI","CAD","CAD","1.00","2.13","1.27","-","1.27","1,270,428.53"
"BANK OF NOVA SCOTIA","0641498J9","-","0.49","$1,269,271","Canada","Financial","1.33","May 1, 2018","2.68","99.75","FI","CAD","CAD","1.00","2.67","1.42","-","1.42","1,269,271.06"
"QUEBEC (PROVINCE OF)","74814ZES8","-","0.48","$1,261,592","Canada","Provincial","3.75","Sep 1, 2024","7.69","113.59","FI","CAD","CAD","1.00","7.68","2.10","-","2.10","1,261,592.46"
"BANK OF NOVA SCOTIA MTN","064149M38","B80YCF6","0.47","$1,219,484","Canada","Financial","2.90","Aug 3, 2022","1.95","102.63","FI","CAD","CAD","1.00","6.50","1.34","-","1.55","1,219,484.08"
"QUEBEC (PROVINCE OF)","74814ZEE9","B500MC0","0.46","$1,191,115","Canada","Provincial","4.50","Dec 1, 2019","3.96","114.05","FI","CAD","CAD","1.00","3.95","1.16","-","1.16","1,191,114.97"
"TORONTO-DOMINION BANK MTN","89116ZAD8","B23G0W0","0.45","$1,187,953","Canada","Financial","5.76","Dec 18, 2106","2.23","109.53","FI","CAD","CAD","1.00","79.60","0.05","-","1.64","1,187,953.28"
"ROYAL BANK OF CANADA","7800855B8","B7608L9","0.45","$1,176,760","Canada","Financial","2.68","Dec 8, 2016","1.32","102.07","FI","CAD","CAD","1.00","1.31","1.11","-","1.11","1,176,760.01"
"TORONTO-DOMINION BANK RegS","8911452R4","BTLJZS1","0.45","$1,175,746","Canada","Financial","2.62","Dec 22, 2021","5.87","102.90","FI","CAD","CAD","1.00","5.84","2.13","-","2.13","1,175,745.93"
"BANK OF MONTREAL","06367VCT0","BBGTPD5","0.45","$1,174,278","Canada","Financial","2.84","Jun 4, 2020","4.52","105.02","FI","CAD","CAD","1.00","4.49","1.75","-","1.75","1,174,277.58"
"CANADA HOUSING TRUST NO 1 144A","13509PEV1","BVY7ZM0","0.45","$1,168,456","Canada","Federal","1.20","Jun 15, 2020","4.71","100.56","FI","CAD","CAD","1.00","4.70","1.08","-","1.08","1,168,455.95"
"QUEBEC (PROVINCE OF)","74814ZEP4","B7YSMS0","0.44","$1,157,039","Canada","Provincial","3.00","Sep 1, 2023","7.12","107.86","FI","CAD","CAD","1.00","7.11","1.94","-","1.94","1,157,038.76"
"ONTARIO (PROVINCE OF)","683234YD4","B0ZGVQ5","0.44","$1,145,478","Canada","Provincial","4.70","Jun 2, 2037","14.36","127.87","FI","CAD","CAD","1.00","14.56","2.96","-","2.96","1,145,477.90"
"ROYAL BANK OF CANADA","780086FE9","BCCWBP9","0.44","$1,142,895","Canada","Financial","2.82","Jul 12, 2018","2.83","103.90","FI","CAD","CAD","1.00","2.81","1.46","-","1.46","1,142,894.94"
"ROYAL BANK OF CANADA","780086GV0","-","0.43","$1,136,307","Canada","Financial","2.86","Mar 4, 2021","5.12","104.78","FI","CAD","CAD","1.00","5.10","1.95","-","1.95","1,136,306.80"
"ONTARIO (PROVINCE OF)","683234LJ5","2205698","0.43","$1,134,461","Canada","Provincial","6.50","Mar 8, 2029","9.66","144.64","FI","CAD","CAD","1.00","9.73","2.58","-","2.58","1,134,460.60"
"TORONTO-DOMINION BANK/THE","891145A95","BD1NQZ5","0.43","$1,116,231","Canada","Financial","2.43","Aug 15, 2017","1.96","102.40","FI","CAD","CAD","1.00","1.95","1.23","-","1.23","1,116,231.25"
"QUEBEC (PROVINCE OF)","748148QT3","2611228","0.43","$1,112,829","Canada","Provincial","6.25","Jun 1, 2032","11.40","145.68","FI","CAD","CAD","1.00","11.53","2.82","-","2.82","1,112,829.37"
"CANADA HOUSING TRUST NO.1 144A","13509PDB6","B3LV3L4","0.42","$1,109,629","Canada","Federal","2.65","Mar 15, 2022","6.03","107.74","FI","CAD","CAD","1.00","6.03","1.42","-","1.42","1,109,629.03"
"WELLS FARGO CANADA CORP MTN","94975ZBU9","-","0.42","$1,107,868","Canada","Financial","3.04","Jan 29, 2021","5.08","105.65","FI","CAD","CAD","1.00","5.05","1.95","-","1.95","1,107,867.56"
"ROYAL BANK OF CANADA","780085G34","B3KTL48","0.42","$1,107,573","Canada","Financial","3.66","Jan 25, 2017","1.44","103.58","FI","CAD","CAD","1.00","1.43","1.19","-","1.19","1,107,572.92"
"CANADA HOUSING TRUST NO 1 144A","13509PER0","BSQ3WN5","0.42","$1,085,093","Canada","Federal","2.55","Mar 15, 2025","8.46","105.90","FI","CAD","CAD","1.00","8.46","1.88","-","1.88","1,085,092.90"
"CANADA HOUSING TRUST NO 1","13509PDX8","BBPVFJ8","0.41","$1,076,148","Canada","Federal","2.05","Jun 15, 2018","2.78","103.68","FI","CAD","CAD","1.00","2.77","0.74","-","0.74","1,076,147.52"
"CANADA HOUSING TRUST NO.1 144A","13509PDL4","B8C24C9","0.40","$1,058,235","Canada","Federal","2.40","Dec 15, 2022","6.74","105.91","FI","CAD","CAD","1.00","6.74","1.55","-","1.55","1,058,234.81"
"ONTARIO (PROVINCE OF) MTN","683234ZP6","B2NSRR0","0.40","$1,048,237","Canada","Provincial","4.60","Jun 2, 2039","15.27","127.33","FI","CAD","CAD","1.00","15.50","2.99","-","2.99","1,048,236.52"
"ROYAL BANK OF CANADA","7800857T7","B7LRBC7","0.40","$1,038,790","Canada","Financial","2.58","Apr 13, 2017","1.64","102.24","FI","CAD","CAD","1.00","1.64","1.23","-","1.23","1,038,789.76"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZLB0","B8N9300","0.39","$1,018,226","Canada","Financial","2.22","Mar 7, 2018","2.50","102.13","FI","CAD","CAD","1.00","2.49","1.37","-","1.37","1,018,226.45"
"BANK OF NOVA SCOTIA","0641493J4","-","0.39","$1,014,757","Canada","Financial","2.46","Mar 14, 2019","3.43","103.42","FI","CAD","CAD","1.00","3.42","1.48","-","1.48","1,014,756.97"
"BANK OF NOVA SCOTIA","064149P27","-","0.39","$1,013,935","Canada","Financial","3.04","Oct 18, 2024","3.93","104.70","FI","CAD","CAD","1.00","8.07","1.88","-","1.87","1,013,934.62"
"TORONTO-DOMINION BANK/THE","891145S47","-","0.39","$1,006,801","Canada","Financial","2.56","Jun 24, 2020","4.60","103.71","FI","CAD","CAD","1.00","4.57","1.77","-","1.77","1,006,800.92"
"ROYAL BANK OF CANADA","780086FX7","BFRB3V2","0.38","$997,867","Canada","Financial","2.89","Oct 11, 2018","3.03","104.33","FI","CAD","CAD","1.00","3.02","1.49","-","1.49","997,866.59"
"BANK OF NOVA SCOTIA","064149S24","B96W819","0.38","$996,889","Canada","Financial","2.24","Mar 22, 2018","2.54","102.14","FI","CAD","CAD","1.00","2.53","1.41","-","1.41","996,889.34"
"CANADA (GOVERNMENT OF)","135087D35","-","0.38","$996,671","Canada","Federal","2.75","Dec 1, 2048","22.17","114.46","FI","CAD","CAD","1.00","22.51","2.14","-","2.14","996,670.94"
"ROYAL BANK OF CANADA","780086BU7","B83Y811","0.38","$989,986","Canada","Financial","2.36","Sep 21, 2017","2.06","102.12","FI","CAD","CAD","1.00","2.05","1.34","-","1.34","989,986.47"
"BANK OF NOVA SCOTIA","064149J24","B7D4NV9","0.38","$989,433","Canada","Financial","2.60","Feb 27, 2017","1.52","102.14","FI","CAD","CAD","1.00","1.51","1.21","-","1.21","989,433.00"
