iShares Canadian Short Term Bond Index ETF
Inception Date,"Nov 20, 2000"
Fund Holdings as of,"06-Aug-2015"
Total Net Assets ($000s),"$2,136,492,505"
Shares Outstanding,"74,200,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,CUSIP,SEDOL,Weight (%),Market Value,Country of Risk,Sector,Coupon (%),Maturity,Duration,Price,Asset Class,Currency,Market Currency,FX Rate,Mod. Duration,YTM (%),Yield to Call (%),Yield to Worst (%),Notional Value
"CANADA (GOVERNMENT OF)","135087E75","-","0.47","$9,957,375","Canada","Federal","0.25","Nov 1, 2017","2.23","99.57","FI","CAD","CAD","1.00","2.23","0.44","-","0.44","9,957,374.87"
"ROYAL BANK OF CANADA","780086DV3","B7VMSS7","0.42","$8,964,277","Canada","Financial","2.26","Mar 12, 2018","2.51","102.13","FI","CAD","CAD","1.00","2.50","1.42","-","1.42","8,964,276.57"
"TORONTO DOMINION BANK (MONTREAL BR MTN","89116ZAC0","B1PC698","0.40","$8,559,621","Canada","Financial","4.78","Dec 14, 2105","1.32","104.33","FI","CAD","CAD","1.00","84.24","0.02","-","1.53","8,559,620.71"
"ROYAL BANK OF CANADA","780086CW2","B8HHM25","0.39","$8,409,343","Canada","Financial","2.99","Dec 6, 2024","4.07","104.62","FI","CAD","CAD","1.00","8.22","1.86","-","1.87","8,409,343.41"
"TORONTO-DOMINION BANK MTN","89116ZAD8","B23G0W0","0.38","$8,107,202","Canada","Financial","5.76","Dec 18, 2106","2.23","109.53","FI","CAD","CAD","1.00","79.60","0.05","-","1.64","8,107,202.07"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZDS2","B78LSP4","0.37","$7,960,777","Canada","Financial","2.65","Nov 8, 2016","1.24","101.93","FI","CAD","CAD","1.00","1.23","1.09","-","1.09","7,960,776.70"
"WELLS FARGO FINANCIAL CANADA CORP MTN","94975ZBM7","B88R8Y8","0.35","$7,448,294","Canada","Financial","2.94","Jul 25, 2019","3.76","105.27","FI","CAD","CAD","1.00","3.75","1.57","-","1.57","7,448,294.20"
"BANK OF NOVA SCOTIA MTN","064149M38","B80YCF6","0.34","$7,185,512","Canada","Financial","2.90","Aug 3, 2022","1.95","102.63","FI","CAD","CAD","1.00","6.50","1.34","-","1.55","7,185,512.25"
"BANK OF NOVA SCOTIA","0641498J9","-","0.32","$6,906,953","Canada","Financial","1.33","May 1, 2018","2.68","99.75","FI","CAD","CAD","1.00","2.67","1.42","-","1.42","6,906,953.07"
"CANADIAN IMPERIAL BANK OF COMMERCE","13595ZLB0","B8N9300","0.32","$6,905,068","Canada","Financial","2.22","Mar 7, 2018","2.50","102.13","FI","CAD","CAD","1.00","2.49","1.37","-","1.37","6,905,068.16"
